idcuenta,idcliente,empresa,oficina,digcontrol,contrato,situacion,fecha_alta,fecha_baja,iban_total
59,59,3203,1173,093,689082092,B,2002-10-23,2003-05-01,ES4132031173093689082092
60,60,6218,6443,633,252404814,B,2020-03-15,2021-12-20,ES8862186443633252404814
61,61,1488,3693,080,734581117,B,2016-02-08,2019-04-10,ES2314883693080734581117
62,62,2754,8987,213,540747489,B,2015-05-12,2020-09-22,ES1327548987213540747489
63,63,0027,9519,940,880981304,A,2008-07-28,9999-12-31,ES7700279519940880981304
64,64,5768,3208,286,268709497,B,2005-07-25,2021-06-29,ES1457683208286268709497
65,65,3665,4270,212,881902894,A,2011-06-15,9999-12-31,ES9136654270212881902894
66,66,1927,5703,523,393632695,A,2019-12-31,9999-12-31,ES3519275703523393632695
67,67,4414,3004,992,792950123,A,2002-01-31,9999-12-31,ES2844143004992792950123
68,68,4027,9104,996,312758837,B,2003-10-21,2012-10-28,ES2440279104996312758837
69,69,0577,0820,785,937418922,A,2018-06-30,9999-12-31,ES4305770820785937418922
70,70,6706,4741,383,782404429,A,2004-04-29,9999-12-31,ES6967064741383782404429
71,71,6390,3518,499,151108604,A,2022-03-28,9999-12-31,ES7563903518499151108604
72,72,3696,0491,995,620690735,B,2013-03-13,2021-04-16,ES1336960491995620690735
73,73,6236,2936,262,298006600,B,2008-07-04,2021-01-26,ES4962362936262298006600
74,74,6769,1996,655,385629229,B,2020-09-12,2022-07-03,ES3367691996655385629229
75,75,9141,0255,073,844393888,B,2001-06-11,2004-07-03,ES1091410255073844393888
76,76,5933,3835,530,134529946,B,2022-05-26,2022-06-15,ES3159333835530134529946
77,77,5518,4155,340,995729350,A,2004-12-28,9999-12-31,ES7755184155340995729350
78,78,9620,6905,725,030191403,A,2010-12-30,9999-12-31,ES0296206905725030191403
79,79,6291,4928,357,493679251,B,2015-10-28,2021-11-26,ES2762914928357493679251
80,80,0160,9008,216,476207835,B,2017-07-15,2019-09-02,ES9601609008216476207835
81,81,8399,1919,259,050806273,A,2016-12-11,9999-12-31,ES9683991919259050806273
82,82,6090,2596,109,246265846,B,2022-04-30,2022-06-01,ES6060902596109246265846
83,83,6572,0093,249,370485618,B,2017-03-05,2019-03-25,ES4365720093249370485618
84,84,0421,2855,503,306276618,B,2008-03-17,2009-01-27,ES9304212855503306276618
85,85,3401,7669,812,561540745,B,2009-06-24,2011-08-28,ES2634017669812561540745
86,86,4868,7189,034,078603197,B,2005-05-11,2021-06-24,ES9148687189034078603197
87,87,4779,7293,906,468027363,A,2004-08-05,9999-12-31,ES5647797293906468027363
88,88,3130,5516,529,886018230,B,2011-07-10,2017-09-12,ES6131305516529886018230
89,89,0500,2165,956,785054049,B,2021-05-30,2021-11-10,ES8005002165956785054049
90,90,1054,0924,108,591931258,A,2007-10-14,9999-12-31,ES5010540924108591931258
91,91,9977,1377,931,414072017,B,2012-08-18,2016-07-25,ES7299771377931414072017
92,92,3661,4144,987,676426265,A,2018-04-08,9999-12-31,ES6236614144987676426265
93,93,5485,3814,564,411773779,B,2021-01-08,2021-07-28,ES4454853814564411773779
94,94,2343,6809,434,271003654,B,2018-05-27,2019-05-13,ES4123436809434271003654
95,95,3258,2832,278,104106747,A,2004-10-04,9999-12-31,ES0632582832278104106747
96,96,2878,2917,575,337754122,A,2017-12-23,9999-12-31,ES9328782917575337754122
97,97,1209,5539,837,205965163,B,2018-05-14,2020-01-14,ES4712095539837205965163
98,98,5216,7012,645,936524716,A,2006-04-13,9999-12-31,ES1552167012645936524716
99,99,9291,1111,391,352807341,A,2004-03-10,9999-12-31,ES2692911111391352807341
100,100,9807,1563,183,700736077,A,2006-03-13,9999-12-31,ES0498071563183700736077
101,101,0694,5279,064,861673180,B,2004-09-22,2019-11-05,ES8306945279064861673180
102,102,3439,9063,092,915825451,B,2015-05-24,2017-01-20,ES9034399063092915825451
103,103,1363,2259,208,120059383,A,2009-06-17,9999-12-31,ES2213632259208120059383
104,104,2962,0986,881,671797134,B,2004-03-13,2019-12-24,ES5029620986881671797134
105,105,1380,4786,779,816030642,B,2010-05-11,2015-07-04,ES6513804786779816030642
106,106,5925,0531,254,081360118,A,2009-11-27,9999-12-31,ES9359250531254081360118
107,107,2831,2485,825,783258515,A,2009-02-14,9999-12-31,ES0328312485825783258515
108,108,7959,6395,329,039438649,A,2002-05-10,9999-12-31,ES0779596395329039438649
109,109,2795,6701,425,931794905,B,2013-10-02,2018-01-27,ES8427956701425931794905
110,110,9558,8317,385,747501890,B,2013-08-24,2019-05-05,ES3795588317385747501890
111,111,4099,5952,702,304487280,B,2020-06-26,2020-11-23,ES2740995952702304487280
112,112,1880,2320,003,281442370,B,2008-10-18,2018-09-15,ES4818802320003281442370
113,113,4363,6217,716,137803268,A,2018-01-13,9999-12-31,ES2543636217716137803268
114,114,2997,4723,543,890403511,A,2020-07-11,9999-12-31,ES7629974723543890403511
115,115,2148,0742,584,081773714,A,2003-07-22,9999-12-31,ES0621480742584081773714
116,116,4989,7718,394,494136287,B,2004-04-15,2020-09-10,ES5649897718394494136287
117,117,7166,8355,906,127662583,A,2008-12-06,9999-12-31,ES8971668355906127662583
118,118,4484,1964,406,461830830,A,2008-04-25,9999-12-31,ES2144841964406461830830
119,119,4852,4109,894,745872958,B,2001-07-23,2018-05-22,ES1448524109894745872958
120,120,2687,7509,307,106705960,A,2022-01-02,9999-12-31,ES2226877509307106705960
121,121,9647,1438,123,717771763,A,2011-04-23,9999-12-31,ES8096471438123717771763
122,122,6332,2494,345,838782884,B,2014-01-23,2014-08-25,ES3963322494345838782884
123,123,1081,8444,955,337905029,B,2012-08-24,2013-03-21,ES5910818444955337905029
124,124,5379,6819,629,161975475,B,2014-11-01,2018-01-03,ES1353796819629161975475
125,125,8446,2042,020,249866184,B,2013-01-26,2016-07-18,ES0684462042020249866184
126,126,8395,0661,842,682825129,A,2010-06-05,9999-12-31,ES4483950661842682825129
127,127,7970,8164,715,669094776,B,2016-12-30,2020-07-19,ES5379708164715669094776
128,128,8509,9835,261,672224693,A,2006-09-15,9999-12-31,ES0585099835261672224693
129,129,0087,8427,544,994180635,A,2009-01-05,9999-12-31,ES8200878427544994180635
130,130,0290,5663,775,261762597,A,2004-06-15,9999-12-31,ES7902905663775261762597
131,131,1970,9587,784,475619712,B,2010-11-03,2017-06-12,ES0819709587784475619712
132,132,5260,4015,270,126016886,B,2007-08-10,2015-11-04,ES8552604015270126016886
133,133,5657,3481,642,151721836,B,2003-04-17,2003-07-01,ES8356573481642151721836
134,134,8822,5718,708,642282857,A,2018-04-03,9999-12-31,ES9288225718708642282857
135,135,5814,4541,227,538972534,A,2018-06-15,9999-12-31,ES9158144541227538972534
136,136,3316,9244,776,585476639,A,2012-04-14,9999-12-31,ES3333169244776585476639
137,137,0456,2625,586,264865255,A,2003-06-29,9999-12-31,ES6804562625586264865255
138,138,4168,8051,963,826872358,A,2019-12-14,9999-12-31,ES7741688051963826872358
139,139,9687,0028,865,922646803,A,2006-04-29,9999-12-31,ES9896870028865922646803
140,140,6107,0826,741,922078521,B,2012-11-19,2018-11-25,ES6061070826741922078521
141,141,8593,3133,566,623766300,A,2020-02-24,9999-12-31,ES8185933133566623766300
142,142,9615,5850,692,504084765,A,2015-09-06,9999-12-31,ES0296155850692504084765
143,143,6391,3444,474,804890903,B,2016-06-22,2018-08-28,ES0863913444474804890903
144,144,4772,0917,346,478340232,A,2022-02-18,9999-12-31,ES8947720917346478340232
145,145,7582,3862,119,480556191,B,2004-03-18,2012-09-01,ES5475823862119480556191
146,146,4146,1609,311,578243017,A,2021-03-14,9999-12-31,ES8441461609311578243017
147,147,4689,3923,916,682718976,B,2018-02-01,2019-08-21,ES0546893923916682718976
148,148,1301,4695,370,497071532,B,2006-01-19,2014-10-20,ES9213014695370497071532
149,149,4783,1024,665,539891134,B,2020-09-13,2020-11-15,ES6047831024665539891134
150,150,4610,8262,258,185322675,A,2017-08-30,9999-12-31,ES2946108262258185322675
151,151,9565,2274,107,724244017,B,2001-05-24,2003-07-09,ES0995652274107724244017
152,152,9831,7649,318,122117055,A,2011-02-13,9999-12-31,ES1998317649318122117055
153,153,0974,9668,580,180187725,A,2003-04-26,9999-12-31,ES9409749668580180187725
154,154,8716,8126,489,573656699,A,2015-02-02,9999-12-31,ES8987168126489573656699
155,155,1182,4580,860,415263589,A,2005-01-27,9999-12-31,ES8911824580860415263589
156,156,0466,1295,869,439066263,B,2001-10-08,2019-10-14,ES7504661295869439066263
157,157,5022,7664,080,045856642,A,2001-03-12,9999-12-31,ES5350227664080045856642
158,158,3410,4908,674,177027311,B,2006-02-20,2019-05-16,ES7934104908674177027311
159,159,8785,9743,205,481608895,A,2012-02-25,9999-12-31,ES9187859743205481608895
160,160,3717,5251,366,623414958,B,2020-04-19,2022-04-10,ES2237175251366623414958
161,161,8104,0032,246,356501363,A,2003-09-08,9999-12-31,ES5381040032246356501363
162,162,7695,5712,433,271580239,B,2004-11-06,2011-11-25,ES2976955712433271580239
163,163,4812,0074,223,781955318,A,2005-10-16,9999-12-31,ES4448120074223781955318
164,164,5939,0291,786,048209405,A,2008-10-12,9999-12-31,ES7859390291786048209405
165,165,5737,0862,721,028010292,A,2011-03-04,9999-12-31,ES6157370862721028010292
166,166,8769,9588,570,089229924,B,2018-12-26,2022-03-16,ES7687699588570089229924
167,167,4231,4427,592,976828650,B,2004-10-15,2019-11-16,ES5942314427592976828650
168,168,5570,7842,495,416386558,B,2001-10-11,2022-03-19,ES3455707842495416386558
169,169,9290,3530,671,089783053,A,2002-12-17,9999-12-31,ES2792903530671089783053
170,170,3400,5659,265,349984199,A,2005-05-01,9999-12-31,ES1434005659265349984199
171,171,5445,0269,195,038490492,A,2006-06-29,9999-12-31,ES9054450269195038490492
172,172,7173,3851,306,618102680,B,2014-06-13,2017-06-08,ES1971733851306618102680
173,173,0745,0956,710,287868161,A,2008-02-04,9999-12-31,ES2907450956710287868161
174,174,7481,2073,112,461234991,B,2009-07-26,2019-11-17,ES2674812073112461234991
175,175,3187,4072,755,585401324,A,2005-03-27,9999-12-31,ES7231874072755585401324
176,176,2094,4476,705,849408581,B,2013-03-23,2018-08-05,ES8620944476705849408581
177,177,5964,4297,056,630225136,B,2012-01-20,2015-11-26,ES6659644297056630225136
178,178,1709,8992,306,198310291,B,2003-04-24,2012-04-20,ES3017098992306198310291
179,179,3054,5149,166,180184767,A,2015-06-13,9999-12-31,ES5930545149166180184767
180,180,4580,5107,378,412038694,B,2005-11-02,2009-02-21,ES3945805107378412038694
181,181,3238,8921,843,372774110,A,2020-10-14,9999-12-31,ES3032388921843372774110
182,182,8529,9131,759,066093346,A,2010-10-27,9999-12-31,ES6685299131759066093346
183,183,7082,3393,701,126005401,A,2020-05-09,9999-12-31,ES8770823393701126005401
184,184,1963,7315,709,975672760,A,2012-02-07,9999-12-31,ES6119637315709975672760
185,185,5337,2884,904,767981515,B,2001-04-27,2011-12-03,ES2353372884904767981515
186,186,8507,6987,937,365944372,B,2013-11-29,2018-09-11,ES2985076987937365944372
187,187,6754,9328,078,821231279,B,2018-09-24,2019-07-07,ES4267549328078821231279
188,188,3691,7617,312,354876231,B,2010-09-24,2017-07-30,ES1936917617312354876231
189,189,8491,7035,582,107406510,B,2008-02-06,2017-10-08,ES2284917035582107406510
190,190,0534,4754,693,624932193,A,2011-06-19,9999-12-31,ES7305344754693624932193
191,191,9347,6552,298,335647345,A,2001-12-31,9999-12-31,ES4493476552298335647345
192,192,9452,4617,344,570941122,B,2003-10-03,2019-03-16,ES3494524617344570941122
193,193,3501,0075,083,738974912,B,2004-10-26,2007-01-28,ES5235010075083738974912
194,194,9358,0794,982,554661054,A,2001-11-14,9999-12-31,ES6093580794982554661054
195,195,7273,9658,529,487514605,A,2008-05-05,9999-12-31,ES8672739658529487514605
196,196,0110,8121,335,216265627,A,2014-09-08,9999-12-31,ES1001108121335216265627
197,197,3344,8306,290,962083896,A,2003-08-09,9999-12-31,ES1133448306290962083896
198,198,4149,1407,450,862765861,A,2006-06-03,9999-12-31,ES6441491407450862765861
199,199,5001,2119,914,140486788,A,2013-06-01,9999-12-31,ES7950012119914140486788
200,200,6443,7376,407,340065166,B,2016-10-25,2021-04-09,ES5364437376407340065166
201,201,2481,1343,104,811390760,A,2004-02-29,9999-12-31,ES6224811343104811390760
202,202,4524,8487,287,066303653,B,2002-08-18,2019-10-09,ES6745248487287066303653
203,203,9538,2506,169,904689795,B,2007-04-18,2020-07-24,ES1095382506169904689795
204,204,8546,6547,122,502401679,B,2014-12-18,2016-09-20,ES3085466547122502401679
205,205,6221,7747,850,034800883,B,2010-06-21,2016-04-27,ES3662217747850034800883
206,206,0210,2758,139,218318963,B,2016-07-31,2020-09-29,ES7902102758139218318963
207,207,5545,7125,421,095604436,B,2010-02-26,2012-06-14,ES9755457125421095604436
208,208,8214,7969,529,666314711,B,2018-03-09,2022-02-05,ES3882147969529666314711
209,209,4275,6159,084,104026447,A,2014-09-02,9999-12-31,ES8642756159084104026447
210,210,4303,6398,657,124124230,B,2021-09-02,2022-02-23,ES2943036398657124124230
211,211,5719,6363,788,567789080,B,2014-07-13,2015-06-02,ES9757196363788567789080
212,212,5322,9754,804,026791352,A,2020-08-20,9999-12-31,ES0253229754804026791352
213,213,3181,7425,809,502289439,A,2017-02-23,9999-12-31,ES7831817425809502289439
214,214,2600,2700,735,899716686,B,2014-02-01,2016-09-04,ES1226002700735899716686
215,215,6895,9286,442,095028234,B,2001-07-27,2010-10-13,ES6568959286442095028234
216,216,5036,1983,726,090322733,A,2012-05-06,9999-12-31,ES3550361983726090322733
217,217,0394,1858,321,877284673,A,2004-09-26,9999-12-31,ES6603941858321877284673
218,218,7540,6009,675,450193354,A,2010-07-11,9999-12-31,ES8275406009675450193354
219,219,6331,1454,986,522162631,B,2016-06-22,2017-12-15,ES1463311454986522162631
220,220,6691,6614,510,730652547,A,2001-12-05,9999-12-31,ES1666916614510730652547
221,221,3292,3219,210,277813046,B,2004-01-27,2006-02-26,ES8732923219210277813046
222,222,0224,1574,373,966364834,A,2020-07-25,9999-12-31,ES2102241574373966364834
223,223,3499,5448,148,773764742,B,2016-11-30,2021-06-07,ES8934995448148773764742
224,224,3874,1785,036,383004223,A,2008-05-17,9999-12-31,ES9838741785036383004223
225,225,2404,6348,295,871469256,B,2015-11-25,2020-08-30,ES3224046348295871469256
226,226,2410,8836,412,810494275,A,2005-03-07,9999-12-31,ES0924108836412810494275
227,227,5058,1501,421,546090649,B,2014-11-25,2016-04-10,ES0850581501421546090649
228,228,2290,7230,727,925749270,A,2002-10-14,9999-12-31,ES1622907230727925749270
229,229,0869,2402,931,395930910,A,2021-01-07,9999-12-31,ES1808692402931395930910
230,230,9299,0106,199,395645334,A,2007-08-03,9999-12-31,ES9392990106199395645334
231,231,5702,9145,682,198426920,B,2018-02-17,2021-02-22,ES6157029145682198426920
232,232,6788,7187,920,694959822,A,2014-03-21,9999-12-31,ES6067887187920694959822
233,233,6889,8737,054,926671045,B,2005-06-29,2015-06-04,ES7968898737054926671045
234,234,6847,8884,315,794375823,A,2006-07-19,9999-12-31,ES8968478884315794375823
235,235,5343,7936,903,673597636,B,2019-06-19,2021-09-20,ES1853437936903673597636
236,236,8315,1430,024,885790160,A,2018-01-11,9999-12-31,ES9583151430024885790160
237,237,7898,7558,867,715389984,B,2006-02-12,2009-04-01,ES5878987558867715389984
238,238,8754,3857,899,886616471,B,2011-10-30,2012-06-23,ES9587543857899886616471
239,239,1320,4562,566,762932943,A,2011-06-17,9999-12-31,ES3513204562566762932943
240,240,6982,3140,530,599679713,A,2006-09-23,9999-12-31,ES2269823140530599679713
241,241,5633,0020,959,350973558,A,2013-09-29,9999-12-31,ES9856330020959350973558
242,242,6547,6141,414,868947431,B,2007-04-21,2007-08-16,ES5465476141414868947431
243,243,0460,1759,816,013490363,B,2011-08-07,2011-10-18,ES3004601759816013490363
244,244,3811,2845,778,569717346,A,2017-09-18,9999-12-31,ES4038112845778569717346
245,245,2560,4423,016,075292153,B,2010-12-19,2011-03-05,ES7925604423016075292153
246,246,1257,8679,195,375785906,B,2018-03-26,2020-06-25,ES5512578679195375785906
247,247,7708,2321,284,787654591,A,2010-03-07,9999-12-31,ES4977082321284787654591
248,248,7293,6099,621,539101691,A,2009-04-29,9999-12-31,ES5372936099621539101691
249,249,5397,9862,862,748383644,B,2009-01-29,2019-04-20,ES2553979862862748383644
250,250,4928,8471,175,663700775,B,2006-12-06,2006-12-28,ES3549288471175663700775
251,251,4179,3933,925,992110372,A,2018-11-11,9999-12-31,ES5741793933925992110372
252,252,0764,8146,721,761337602,A,2013-01-26,9999-12-31,ES3207648146721761337602
253,253,8014,0398,270,668904515,B,2018-09-08,2019-08-16,ES3980140398270668904515
254,254,1646,7484,421,373603774,B,2009-06-17,2021-08-20,ES4616467484421373603774
255,255,3663,0118,615,642403980,B,2003-10-18,2010-06-27,ES2236630118615642403980
256,256,6858,8791,488,478653369,B,2009-06-08,2021-11-06,ES9468588791488478653369
257,257,4966,9806,134,258726050,B,2021-11-28,2022-07-03,ES1449669806134258726050
258,258,8882,5749,404,591006672,A,2018-07-20,9999-12-31,ES5888825749404591006672
259,259,4553,3678,440,941934963,A,2002-08-22,9999-12-31,ES1245533678440941934963
260,260,8098,0457,442,946633838,B,2021-08-18,2021-11-14,ES5980980457442946633838
261,261,6110,7112,812,424749613,A,2015-07-22,9999-12-31,ES2361107112812424749613
262,262,8105,3275,893,212264436,A,2011-05-16,9999-12-31,ES5681053275893212264436
263,263,2060,2348,159,671126291,B,2005-12-04,2014-03-30,ES7420602348159671126291
264,264,5388,0445,931,755171478,B,2001-02-17,2005-08-28,ES7953880445931755171478
265,265,1834,4562,658,872612577,A,2011-03-21,9999-12-31,ES5318344562658872612577
266,266,0896,9618,882,325926591,A,2011-03-15,9999-12-31,ES3608969618882325926591
267,267,9432,7527,406,578304947,A,2006-04-06,9999-12-31,ES2594327527406578304947
268,268,7771,5635,846,060673982,A,2009-03-13,9999-12-31,ES1177715635846060673982
269,269,8954,5842,048,364100246,B,2013-10-23,2016-02-05,ES4989545842048364100246
270,270,6657,9441,553,553697976,A,2005-08-28,9999-12-31,ES1866579441553553697976
271,271,9043,2068,641,635756449,A,2007-03-05,9999-12-31,ES0790432068641635756449
272,272,6078,6644,069,792472573,A,2014-09-26,9999-12-31,ES1160786644069792472573
273,273,4578,5612,592,152159598,B,2015-02-07,2020-06-18,ES6045785612592152159598
274,274,9511,5537,354,338641392,B,2008-10-15,2009-08-15,ES9495115537354338641392
275,275,9606,8753,446,213507054,A,2004-06-06,9999-12-31,ES5196068753446213507054
276,276,9468,0215,084,622024555,A,2003-07-08,9999-12-31,ES8694680215084622024555
277,277,6374,4318,114,717103098,A,2009-09-20,9999-12-31,ES3263744318114717103098
278,278,7850,7577,445,895161691,A,2020-01-10,9999-12-31,ES9778507577445895161691
279,279,8551,4147,062,421170490,A,2016-02-14,9999-12-31,ES2485514147062421170490
280,280,2448,6921,657,634168063,A,2008-07-09,9999-12-31,ES6824486921657634168063
281,281,0364,9359,204,229864258,B,2022-03-10,2022-06-10,ES5503649359204229864258
282,282,7408,2853,141,092529282,B,2002-04-17,2012-05-27,ES1174082853141092529282
283,283,1827,2387,300,211605107,A,2018-04-24,9999-12-31,ES0518272387300211605107
284,284,3661,3956,168,438977707,A,2008-04-21,9999-12-31,ES5836613956168438977707
285,285,2069,5173,582,103998646,A,2015-05-09,9999-12-31,ES5020695173582103998646
286,286,5112,5338,685,422041191,A,2006-04-19,9999-12-31,ES7051125338685422041191
287,287,1560,2811,916,440712200,B,2011-01-19,2012-08-30,ES6115602811916440712200
288,288,3100,3680,294,802614560,B,2013-09-21,2016-01-17,ES4831003680294802614560
289,289,2373,0716,343,860506054,B,2021-08-26,2022-06-11,ES4723730716343860506054
290,290,3813,4938,050,025861606,A,2009-02-14,9999-12-31,ES7938134938050025861606
291,291,2719,2232,057,593063588,A,2009-09-26,9999-12-31,ES2827192232057593063588
292,292,6296,2033,026,072819315,A,2001-04-28,9999-12-31,ES8862962033026072819315
293,293,4866,7667,817,679164986,A,2007-11-10,9999-12-31,ES0948667667817679164986
294,294,0197,3971,303,533427801,A,2007-03-13,9999-12-31,ES6201973971303533427801
295,295,7373,8376,959,166587125,B,2009-02-17,2009-04-08,ES3773738376959166587125
296,296,7971,6249,292,910365826,B,2009-12-31,2017-04-04,ES4479716249292910365826
297,297,6487,8550,035,109725675,B,2004-04-04,2010-10-03,ES6464878550035109725675
298,298,4658,3682,101,558707343,B,2001-09-10,2020-10-30,ES2246583682101558707343
299,299,8811,9713,570,546108106,A,2017-02-21,9999-12-31,ES7888119713570546108106
300,300,6721,1743,245,444511443,A,2010-04-04,9999-12-31,ES4267211743245444511443
301,301,2194,2964,750,500748369,A,2016-08-12,9999-12-31,ES2621942964750500748369
302,302,2062,6855,333,633574766,B,2000-11-20,2006-11-14,ES5620626855333633574766
303,303,0933,1785,783,547198208,A,2012-12-20,9999-12-31,ES0909331785783547198208
304,304,3851,3473,564,438469596,A,2009-06-26,9999-12-31,ES0438513473564438469596
305,305,1953,9134,487,062545084,B,2012-10-27,2022-06-11,ES5019539134487062545084
306,306,6000,7270,467,197756060,A,2022-02-25,9999-12-31,ES1560007270467197756060
307,307,4333,3954,551,841624006,A,2002-08-01,9999-12-31,ES6643333954551841624006
308,308,2719,3887,709,993534721,A,2007-01-16,9999-12-31,ES9827193887709993534721
309,309,6890,7570,480,196272379,B,2009-05-01,2014-04-10,ES8368907570480196272379
310,310,1574,2673,518,725113261,B,2014-12-09,2017-01-13,ES3415742673518725113261
311,311,4079,7497,175,484294068,A,2011-08-12,9999-12-31,ES2140797497175484294068
312,312,4759,7648,217,952359487,A,2019-08-06,9999-12-31,ES2747597648217952359487
313,313,4698,5534,021,233331061,A,2017-12-05,9999-12-31,ES5746985534021233331061
314,314,6088,7251,827,288847070,A,2001-08-17,9999-12-31,ES3060887251827288847070
315,315,1205,0541,507,804171789,A,2012-11-06,9999-12-31,ES6812050541507804171789
316,316,9208,6415,002,135868560,A,2010-01-09,9999-12-31,ES0892086415002135868560
317,317,8832,0301,758,757091728,A,2000-10-24,9999-12-31,ES9688320301758757091728
318,318,7401,5017,635,616455586,A,2017-09-07,9999-12-31,ES4274015017635616455586
319,319,4254,5010,521,192772204,A,2003-02-28,9999-12-31,ES5842545010521192772204
320,320,8223,2189,264,406328779,B,2014-01-31,2022-02-15,ES4882232189264406328779
321,321,9025,2474,303,685056108,B,2003-05-05,2019-12-28,ES4990252474303685056108
322,322,1967,1918,762,373368171,A,2013-09-27,9999-12-31,ES6919671918762373368171
323,323,1490,1886,139,452708146,A,2011-01-01,9999-12-31,ES0914901886139452708146
